Sample Number,Fo,Fm,FvFm,DATE,Species,Abrev_Population_name,Population Name,Population,Treatment Condition,Condition_Key
KCKT2693,1.155,4.98,0.736,12.3,KC,KT,Kuantan,Northern,25°C,A
KOYX480,0.728,3.262,0.777,12.3,KO,YX,Yunxiao,Northern,25°C,A
KOYX1916,0.766,4.042,0.81,12.3,KO,YX,Yunxiao,Northern,25°C,A
KOYX1917,0.835,3.553,0.765,12.3,KO,YX,Yunxiao,Northern,25°C,A
KOYX1945,0.782,3.812,0.795,12.3,KO,YX,Yunxiao,Northern,25°C,A
KOYX448,0.787,3.549,0.788,12.3,KO,YX,Yunxiao,Northern,25°C,A
KCBN1601,0.862,3.129,0.725,1.16,KC,BN,Benut,Southern,Recovery 2 days,D
KCBN1669,0.972,3.875,0.749,1.16,KC,BN,Benut,Southern,Recovery 2 days,D
KCBN1663,0.716,2.726,0.737,1.16,KC,BN,Benut,Southern,Recovery 2 days,D
KCBN1612,0.717,1.903,0.623,1.16,KC,BN,Benut,Southern,Recovery 2 days,D
KCBN617,0.934,3.638,0.743,1.16,KC,BN,Benut,Southern,Recovery 2 days,D
KCBN1627,0.701,1.881,0.627,1.16,KC,BN,Benut,Southern,Recovery 2 days,D
KOFT1161,0.813,3.607,0.775,1.16,KO,FT,Futian,Southern,Recovery 2 days,D
KOFT1757,0.733,3.518,0.792,1.16,KO,FT,Futian,Southern,Recovery 2 days,D
KOFT1206,0.975,4.221,0.769,1.16,KO,FT,Futian,Southern,Recovery 2 days,D
KOFT61,0.827,2.822,0.707,1.16,KO,FT,Futian,Southern,Recovery 2 days,D
KOFT418,0.668,2.835,0.764,1.16,KO,FT,Futian,Southern,Recovery 2 days,D
KCKT2684,1.041,3.236,0.678,1.16,KC,KT,Kuantan,Northern,Recovery 2 days,D
KCKT2692,1.09,3.262,0.666,1.16,KC,KT,Kuantan,Northern,Recovery 2 days,D
KCKT2672,1.114,2.288,0.513,1.16,KC,KT,Kuantan,Northern,Recovery 2 days,D
KCKT2666,1.162,4.156,0.72,1.16,KC,KT,Kuantan,Northern,Recovery 2 days,D
KCKT2695,0.827,3.044,0.728,1.16,KC,KT,Kuantan,Northern,Recovery 2 days,D
KOYX459,0.818,4.433,0.815,1.16,KO,YX,Yunxiao,Northern,Recovery 2 days,D
KOYX480,0.654,2.921,0.776,1.16,KO,YX,Yunxiao,Northern,Recovery 2 days,D
KOYX1912,0.665,2.819,0.764,1.16,KO,YX,Yunxiao,Northern,Recovery 2 days,D
KOYX1844,0.737,3.704,0.801,1.16,KO,YX,Yunxiao,Northern,Recovery 2 days,D
KOYX428,0.733,3.751,0.805,1.16,KO,YX,Yunxiao,Northern,Recovery 2 days,D
KCBN1668,1.14,4.262,0.733,1.2,KC,BN,Benut,Southern,Recovery 6 days,E
KCBN1698,1.093,4.154,0.737,1.2,KC,BN,Benut,Southern,Recovery 6 days,E
KCBN1617,0.863,4.497,0.808,1.2,KC,BN,Benut,Southern,Recovery 6 days,E
KCBN1601,0.995,4.288,0.768,1.2,KC,BN,Benut,Southern,Recovery 6 days,E
KOFT1161,0.841,3.99,0.789,1.2,KO,FT,Futian,Southern,Recovery 6 days,E
KOFT1757,0.733,4.023,0.818,1.2,KO,FT,Futian,Southern,Recovery 6 days,E
KOFT418,0.682,3.772,0.819,1.2,KO,FT,Futian,Southern,Recovery 6 days,E
KCKT2693,1.172,4.03,0.709,1.2,KC,KT,Kuantan,Northern,Recovery 6 days,E
KCKT2692,0.977,4.293,0.772,1.2,KC,KT,Kuantan,Northern,Recovery 6 days,E
KCKT2684,1.095,4.127,0.735,1.2,KC,KT,Kuantan,Northern,Recovery 6 days,E
KCKT2612,1.114,4.678,0.762,1.2,KC,KT,Kuantan,Northern,Recovery 6 days,E
KOYX1944,0.71,3.695,0.808,1.2,KO,YX,Yunxiao,Northern,Recovery 6 days,E
KOYX480,0.709,3.299,0.785,1.2,KO,YX,Yunxiao,Northern,Recovery 6 days,E
KOYX459,0.742,4.376,0.83,1.2,KO,YX,Yunxiao,Northern,Recovery 6 days,E
KCBN1669,0.738,3.79,0.805,1.22,KC,BN,Benut,Southern,Recovery 8 days,F
KCBN1612,1.077,3.723,0.711,1.22,KC,BN,Benut,Southern,Recovery 8 days,F
