id,viral_load,virus,family,day
128Fx7M_I_2,-0.965656813,I,128Fx7M,02/09/16
128Fx7M_O_1,-10.07122218,O,128Fx7M,24/08/16
128Fx7M_O_2,-12.31248033,O,128Fx7M,31/08/16
128Fx8M_I_1,0.787836181,I,128Fx8M,18/08/16
128Fx8M_I_2,0.299402058,I,128Fx8M,23/08/16
128Fx8M_M_1,-10.50610599,M,128Fx8M,01/09/16
128Fx8M_O_1,-10.39586861,O,128Fx8M,17/08/16
128Fx8M_O_2,-9.456164038,O,128Fx8M,24/08/16
131Fx77M_M_2,-10.77797249,M,131Fx77M,01/09/16
132Fx125M_M_1,-10.50452319,M,132Fx125M,25/08/16
132Fx125M_O_1,-11.89979849,O,132Fx125M,17/08/16
132Fx126M_M_1,-12.15692692,M,132Fx126M,25/08/16
132Fx126M_M_2,-10.48270506,M,132Fx126M,25/08/16
132Fx126M_O_1,-10.96030344,O,132Fx126M,17/08/16
132Fx16M_I_1,-0.405046748,I,132Fx16M,02/09/16
132Fx16M_I_2,-0.376600741,I,132Fx16M,08/09/16
132Fx16M_M_1,-11.75422432,M,132Fx16M,13/09/16
132Fx16M_O_1,-11.43136737,O,132Fx16M,31/08/16
137Fx28M_I_1,0.527576706,I,137Fx28M,02/09/16
137Fx28M_I_2,0.572049007,I,137Fx28M,08/09/16
137Fx28M_M_1,-11.10728627,M,137Fx28M,13/09/16
137Fx28M_O_1,-11.04476846,O,137Fx28M,31/08/16
138Fx175M_M_1,-8.965005758,M,138Fx175M,01/09/16
138Fx175M_M_2,-10.3405494,M,138Fx175M,01/09/16
139Fx11M_I_1,1.138451747,I,139Fx11M,02/09/16
139Fx11M_I_2,0.122510615,I,139Fx11M,08/09/16
139Fx77M_M_1,-10.99617204,M,139Fx77M,25/08/16
139Fx77M_O_1,-12.40549813,O,139Fx77M,24/08/16
139Fx77M_O_2,-11.31556951,O,139Fx77M,31/08/16
140Fx151M_I_1,0.115755999,I,140Fx151M,09/08/16
140Fx151M_I_2,-0.056051819,I,140Fx151M,18/08/16
143Fx106M_I_1,-0.66932947,I,143Fx106M,02/09/16
143Fx106M_I_2,-0.348955387,I,143Fx106M,02/09/16
148Fx122M_I_1,0.05812952,I,148Fx122M,23/08/16
148Fx122M_I_2,0.552676517,I,148Fx122M,08/09/16
148Fx122M_O_1,-11.91546801,O,148Fx122M,24/08/16
148Fx122M_O_2,-10.81769285,O,148Fx122M,31/08/16
148Fx185M_I_1,0.552775908,I,148Fx185M,18/08/16
148Fx185M_I_2,1.052827054,I,148Fx185M,02/09/16
148Fx3M_O_1,-12.07769659,O,148Fx3M,14/09/16
151Fx141M_I_1,0.663308659,I,151Fx141M,02/09/16
151Fx141M_M_1,-10.72510315,M,151Fx141M,16/08/16
151Fx141M_M_2,-8.671879841,M,151Fx141M,25/08/16
151Fx141M_O_2,-10.52888833,O,151Fx141M,24/08/16
151Fx14M_O_1,-9.906307452,O,151Fx14M,17/08/16
151Fx150M_I_1,-0.267503204,I,151Fx150M,09/08/16
151Fx150M_I_2,-0.661610642,I,151Fx150M,18/08/16
151Fx187M_I_1,0.518184314,I,151Fx187M,18/08/16
151Fx187M_I_2,1.384067593,I,151Fx187M,02/09/16
