id,viral_load,virus,family,day
7_G_O_3,-1.0824695,O,G_7,01/07/17
7_J_O_1,-4.316894564,O,J_7,01/07/17
7_J_O_2,-3.012907059,O,J_7,01/07/17
7_O_A_1,-3.543221517,A,O_7,13/07/17
7_O_A_2,-4.624422122,A,O_7,13/07/17
70_D_M_1,-5.069548647,M,D_70,14/06/17
70_D_M_2,-3.316403909,M,D_70,21/06/17
70_D_O_1,0.508899651,O,D_70,01/07/17
70_D_O_2,-0.310608904,O,D_70,01/07/17
70_D_O_3,-0.720241584,O,D_70,01/07/17
70_E_A_1,-5.130909965,A,E_70,14/06/17
71_A_M_1,-6.251109154,M,A_71,14/06/17
8_A_O_1,4.940864055,O,A_8,30/05/17
8_A_O_2,6.259072754,O,A_8,14/06/17
8_H_O_1,-4.589721706,O,H_8,14/06/17
8_J_O_1,-5.733519597,O,J_8,13/07/17
8_K_A_1,-4.966033509,A,K_8,29/06/17
8_K_A_2,-5.180371809,A,K_8,29/06/17
8_K_M_1,-6.614708461,M,K_8,30/06/17
8_K_M_2,-6.109150448,M,K_8,30/06/17
8_L_A_1,-6.038931892,A,L_8,29/06/17
8_L_A_2,-4.147920163,A,L_8,06/07/17
8_L_A_3,-3.924722712,A,L_8,13/07/17
8_L_M_1,-5.630132707,M,L_8,12/07/17
8_L_M_2,-4.848727262,M,L_8,12/07/17
8_L_O_1,-5.359565767,O,L_8,01/07/17
8_L_O_2,-3.129965817,O,L_8,01/07/17
8_O_O_1,-2.174680734,O,O_8,01/07/17
8_O_O_2,-1.685595549,O,O_8,06/07/17
8_O_O_3,-1.390377074,O,O_8,06/07/17
9_C_M_1,-6.056432265,M,C_9,20/07/17
9_L_A_1,-3.179617932,A,L_9,29/06/17
9_L_A_2,-4.827062657,A,L_9,29/06/17
9_L_A_3,-3.710348177,A,L_9,13/07/17
9_L_M_1,-3.384695092,M,L_9,06/07/17
9_L_M_2,-2.940533672,M,L_9,12/07/17
9_L_M_3,-3.85471299,M,L_9,12/07/17
9_L_O_2,-2.919546167,O,L_9,06/07/17
9_M_M_1,-3.290672813,M,M_9,30/06/17
9_M_M_2,-5.073740523,M,M_9,30/06/17
9_M_O_1,-4.09041551,O,M_9,13/07/17
9_M_O_2,-1.905777975,O,M_9,13/07/17
