id,viral_load,virus,family,day
A13_17_2_A,-6.05936212,A,A13_17,35
A13_11_2_A,-7.32401212,A,A13_11,35
A13_11_2_M,-5.84426022,M,A13_11,35
A13_4_2_M,-4.43300039,M,A13_4,35
A13_14_2_M,-5.74536834,M,A13_14,35
A13_7_2_M,-5.70801022,M,A13_7,35
A13_3_2_M,-5.87700039,M,A13_3,35
A13_14_2_A,-5.6416735,A,A13_14,35
A13_9_2_A,-4.44894767,A,A13_9,35
A13_17_2_M,-6.05895039,M,A13_17,35
A13_4_2_A,-5.56139767,A,A13_4,35
A13_7_2_A,-6.09701212,A,A13_7,35
A13_9_2_M,-5.07041834,M,A13_9,35
A13_11_5_O,-5.09547489,O,A13_11,38
A13_19_5_M,-5.59322347,M,A13_19,38
A13_18_5_M,-4.87067347,M,A13_18,38
A13_11_5_M,-6.66106021,M,A13_11,38
A13_2_5_M,-4.67181021,M,A13_2,38
A13_4_5_O,-5.40411491,O,A13_4,38
A13_3_5_M,-5.93012347,M,A13_3,38
A13_18_5_O,-9.61771491,O,A13_18,38
A13_4_5_M,-2.16346021,M,A13_4,38
A13_14_5_M,-2.87727347,M,A13_14,38
A13_2_5_O,-6.41261491,O,A13_2,38
A13_14_5_O,-9.34401491,O,A13_14,38
A13_3_5_O,-8.10602489,O,A13_3,38
A13_19_5_O,-9.17366491,O,A13_19,38
A13_7_5_O,-3.72699432,O,A13_7,38
A13_9_5_O,-6.03039432,O,A13_9,38
A14_1_1_A,-6.76842874,A,A14_1,37
A14_1_1_M,-5.73036752,M,A14_1,37
A14_21_1_M,-7.56176752,M,A14_21,37
A14_13_1_M,-5.67821752,M,A14_13,37
A14_12_1_A,-6.20622874,A,A14_12,37
A14_12_1_M,-4.72961752,M,A14_12,37
A14_24_1_A,-4.8158671,A,A14_24,37
A14_24_1_M,-7.06510046,M,A14_24,37
A14_5_1_A,-5.79612874,A,A14_5,37
A14_5_1_M,-5.3798671,M,A14_5,37
A14_17_1_M,-6.70030046,M,A14_17,37
A14_13_1_A,-6.43932874,A,A14_13,37
A14_18_1_M,-4.4268671,M,A14_18,37
A14_6_1_M,-7.51215046,M,A14_6,37
A14_17_1_A,-5.40292874,A,A14_17,37
A14_20_1_M,-6.53955046,M,A14_20,37
A14_6_1_A,-5.56000299,A,A14_6,37
A14_21_1_A,-6.2743171,A,A14_21,37
A14_20_1_A,-7.08010299,A,A14_20,37
A14_18_1_A,-6.95582874,A,A14_18,37
A14_5_2_A,-5.09883655,A,A14_5,38
A14_18_2_O,-7.66479151,O,A14_18,38
A14_18_2_A,-5.4145882,A,A14_18,38
A14_12_2_O,-8.6115228,O,A14_12,38
A14_21_2_O,-9.22420689,O,A14_21,38
A14_13_2_O,-7.5703728,O,A14_13,38
A14_20_2_O,-8.01270689,O,A14_20,38
A14_21_2_A,-5.8839882,A,A14_21,38
A14_17_2_A,-4.91731661,A,A14_17,38
A14_17_2_O,-6.01110689,O,A14_17,38
A14_1_2_A,-4.09038655,A,A14_1,38
A14_5_2_O,-7.4665728,O,A14_5,38
A14_12_2_A,-6.40383655,A,A14_12,38
A14_1_2_O,-7.59299151,O,A14_1,38
A14_6_2_O,-10.5626728,O,A14_6,38
A14_24_2_A,-6.71943655,A,A14_24,38
A14_20_2_A,-6.38186661,A,A14_20,38
A14_6_2_A,-6.47976661,A,A14_6,38
A14_24_2_O,-8.81730689,O,A14_24,38
A14_13_3_O,-9.39084944,O,A14_13,39
A14_17_3_O,-7.9824253,O,A14_17,39
A14_18_3_M,-4.60696432,M,A14_18,39
A14_1_3_O,-8.54159944,O,A14_1,39
A14_13_3_M,-6.04805377,M,A14_13,39
A14_20_3_O,-7.47339944,O,A14_20,39
A14_18_3_O,-6.8262253,O,A14_18,39
A14_17_3_M,-4.34555377,M,A14_17,39
A14_20_3_M,-4.15180377,M,A14_20,39
A14_1_3_M,-4.74900377,M,A14_1,39
A14_21_3_O,-8.1721253,O,A14_21,39
A14_24_3_O,-7.92816432,O,A14_24,39
A14_12_3_M,-3.75335377,M,A14_12,39
A14_12_3_O,-8.9963753,O,A14_12,39
A14_24_3_M,-4.4788382,M,A14_24,39
A14_5_3_M,-5.24880377,M,A14_5,39
A14_5_3_O,-9.00094944,O,A14_5,39
A14_6_3_M,-5.14420377,M,A14_6,39
A14_6_3_O,-9.40259944,O,A14_6,39
A14_2_4_A,-5.27695688,A,A14_2,40
A14_1_4_A,-6.48065497,A,A14_1,40
A14_12_4_M,-4.26594777,M,A14_12,40
A14_1_4_M,-4.57464777,M,A14_1,40
A14_5_4_A,-6.02045497,A,A14_5,40
A14_5_4_M,-4.65944777,M,A14_5,40
A14_13_4_A,-5.33650688,A,A14_13,40
A14_13_4_M,-6.69054777,M,A14_13,40
A14_6_4_A,-5.62295497,A,A14_6,40
A14_6_4_M,-7.36519777,M,A14_6,40
A2_11_1_A,-5.68761863,A,A2_11,2
A2_11_1_O,-7.2012485,O,A2_11,2
A2_23_1_O,-6.87537618,O,A2_23,2
A2_14_1_A,-4.24759405,A,A2_14,2
A2_14_1_O,-7.4499485,O,A2_14,2
A2_12_1_O,-6.46027618,O,A2_12,2
A2_15_1_O,-9.74156254,O,A2_15,2
A2_24_1_A,-4.03132745,A,A2_24,2
A2_12_1_A,-5.63314405,A,A2_12,2
A2_3_1_A,-4.75341863,A,A2_3,2
A2_3_1_O,-6.86892618,O,A2_3,2
A2_16_1_A,-4.86887745,A,A2_16,2
A2_16_1_O,-7.45302618,O,A2_16,2
A2_7_1_A,-4.51809405,A,A2_7,2
A2_15_1_A,-5.01809405,A,A2_15,2
A2_21_1_O,-8.27401254,O,A2_21,2
A2_23_1_A,-4.24226863,A,A2_23,2
A2_21_1_A,-5.12134405,A,A2_21,2
A2_7_1_O,-6.91757618,O,A2_7,2
A2_24_1_O,-6.00566254,O,A2_24,2
A2_14_2_M,-7.85253092,M,A2_14,3
A2_14_2_O,-7.66274611,O,A2_14,3
A2_23_2_O,-7.57424573,O,A2_23,3
A2_16_2_O,-8.88819573,O,A2_16,3
A2_12_2_O,-8.89019573,O,A2_12,3
A2_21_2_O,-9.33754573,O,A2_21,3
A2_7_2_O,-9.36459573,O,A2_7,3
A2_23_2_M,-5.96374611,M,A2_23,3
A2_15_2_O,-8.77244573,O,A2_15,3
A2_11_2_O,-8.6944826,O,A2_11,3
A2_11_2_M,-5.91228092,M,A2_11,3
A2_7_2_M,-5.78992745,M,A2_7,3
A2_15_2_M,-5.52853238,M,A2_15,3
A2_21_2_M,-5.77002745,M,A2_21,3
A2_24_2_O,-7.8780326,O,A2_24,3
A2_3_2_O,-7.6776326,O,A2_3,3
A2_3_2_M,-6.31688092,M,A2_3,3
A2_24_2_M,-6.96923092,M,A2_24,3
A2_12_2_M,-4.92768092,M,A2_12,3
A2_23_3_M,-8.52931128,M,A2_23,4
A2_15_3_M,-8.93566128,M,A2_15,4
A2_14_3_A,-5.3032151,A,A2_14,4
A2_11_3_M,-7.04201128,M,A2_11,4
A2_16_3_A,-6.72292184,A,A2_16,4
A2_16_3_M,-5.42422421,M,A2_16,4
A2_23_3_A,-5.78551453,A,A2_23,4
A2_15_3_A,-5.87832421,A,A2_15,4
A2_21_3_A,-5.28322184,A,A2_21,4
A2_21_3_M,-7.10692421,M,A2_21,4
A2_12_3_M,-8.37675337,M,A2_12,4
A2_3_3_M,-5.04830337,M,A2_3,4
A2_12_3_A,-6.86191453,A,A2_12,4
A2_11_3_A,-7.28276453,A,A2_11,4
A2_3_3_A,-5.73697184,A,A2_3,4
A2_7_3_M,-5.4920651,M,A2_7,4
A2_24_3_M,-5.2890151,M,A2_24,4
A2_14_3_M,-5.92330337,M,A2_14,4
A2_24_3_A,-5.0962651,A,A2_24,4
A2_7_3_A,-6.70921453,A,A2_7,4
A2_11_4_O,-7.67548367,O,A2_11,5
A2_16_4_O,-7.16793367,O,A2_16,5
A2_12_4_O,-7.46895795,O,A2_12,5
